pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
55 Cnc e,2,5,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,0.05,2657.83,1958,83.59,3.52,0.0182,G8 V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41,12.5855,5.95084,4.015,5.72973,Super Earth
CD Cet b,1,1,2.2907,0.0185,1.82,0.162,3.95,0.01243,Msini,3.6,,8.6,464,87.48,,,M5.0 V,3130,0.17,0.16,0.13,-2.533,4.93,3,30.35878,8.60715,13.95,7.833,12.1232,Super Earth
CoRoT-7 b,1,3,0.85359163,0.017016,1.681,0.15,4.07661,0.01283,Mass,9.355,0,,1756,80.1,4.26,0.0187,G9 V,5275,0.83,0.82,0.05,-0.289,4.5,1.8,2,159.906,11.728,9.806,11.5239,Super Earth
DMPP-1 d,1,4,2.882,0.0422,1.65,0.147,3.35,0.01054,Msini,4.1,0.07,,1632,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Super Earth
DMPP-1 e,1,4,5.516,0.0651,1.86,0.166,4.13,0.01299,Msini,3.53,0.07,,1314,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Super Earth
DMPP-3 A b,2,1,6.6732,0.0662,1.41,0.126,2.58,0.00812,Msini,5.06,0.14,,854,,,,K0 V,5138,0.91,0.87,0.18,-0.293,4.3,10.9,,45.23,9.066,7.061,8.854298,Super Earth
EPIC 201170410.02,1,1,6.7987,0.0349,1.047,0.093,1.15,0.0036,M-R relationship,5.51,0,,,89.002,,0.034,M,3648,0.28,0.29,-0.048,-1.9,5,,,134,17.6984,12.619,16.4386,Super Earth
EPIC 201238110 b,1,1,28.1656,0.1346,1.87,0.167,4.16,0.0131,M-R relationship,3.5,,,,,61.5,0.0458,M,3587,0.37,0.41,,-1.508,4.78,,6.73294,159.259,16.014,11.933,15.2612,Super Earth
EPIC 201427007 b,1,1,0.72091,0.01535,1.5,0.134,2.86,0.00899,M-R relationship,4.66,,,,88.5,3.1,0.0142,G,5633,0.94,0.93,-0.053,-0.049,4.4,,1.02055,706.391,14.321,12.581,14.147,Super Earth
EPIC 201497682 b,1,1,2.13174,0.029839,0.692,0.062,0.26,0.00082,M-R relationship,4.31,,,,,,0.0115,K,4991,0.55,0.78,-0.089,-0.766,4.63,,3.22926,253.026,13.948,11.438,13.7368,Terrestrial
EPIC 201595106 b,1,1,0.877214,0.01805,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,,1874,89.2,5.8,0.0126,G,5820,0.93,1.02,-0.01,-0.026,4.6,,1.47541,232.1,11.746,10.218,11.6477,Super Earth
EPIC 201615463 c,1,2,3.80464,0.04878,1.22,0.109,1.98,0.00624,M-R relationship,5.99,,,,,,0.0093,F,5942.5,1.6,1.07,-0.051,0.458,4.09,,0.42293,476.882,12.081,10.637,11.9456,Super Earth
EPIC 201754305 d,1,3,2.71578,0.0333,1.03,0.092,1.08,0.0034,M-R relationship,5.43,,,,,,0.015,K3 V,4761,0.54,0.67,-0.33,-0.761,4.63,,2.95996,334.967,14.668,12.087,14.3234,Super Earth
EPIC 201757695.02,1,1,2.0478,0.0296,0.908,0.081,0.688,0.00217,M-R relationship,5.05,0,,,89.276,,0.0127,,4520,0.66,0.73,-0.003,-0.364,4.66,,,577.6,14.974,12.149,,Terrestrial
EPIC 201833600 c,1,2,3.96151,0.041554,1,0.089,0.972,0.00306,M-R relationship,5.34,,,,,12.4,0.0168,,4292.67,0.63,0.61,-0.113,-0.874,4.74,,2.55179,257.443,14.705,11.664,14.2575,Terrestrial
EPIC 201841433 b,1,1,4.1698,0.035,1.04,0.093,1.12,0.00352,M-R relationship,5.47,,,,89.001,11.5,0.0152,,5053,0.63,0.8,0,-0.635,4.59,,2.65207,436.488,14.983,12.454,14.5885,Super Earth
EPIC 205950854 c,1,2,8.050722,0.07533,1.31,0.117,2.27,0.00714,M-R relationship,5.55,,,961,89.81,16.18,0.01258,,5502.7,0.83,0.88,-0.13,-0.176,4.39,,1.2704,243.935,12.365,10.549,12.0976,Super Earth
EPIC 206024342 b,1,3,4.50756,0.05212,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,,,,13.9,0.0147,,5724,0.82,0.93,-0.22,-0.17,4.59,,2.3828,369.888,13.096,11.487,12.9682,Super Earth
EPIC 206024342 c,1,3,0.911724,0.017961,1.4,0.125,2.54,0.008,M-R relationship,5.09,,,,91.7,4.7,0.0117,,5724,1.1,0.93,-0.22,-0.17,4.5,,2.3828,369.888,13.096,11.487,12.9682,Super Earth
EPIC 206032309 b,1,1,2.87814,0.0239,1.01,0.09,1.01,0.00317,M-R relationship,5.39,,,,,,0.0405,,3489,0.37,0.22,,-1.73,4.85,,9.77858,161.365,17.89,12.538,16.0689,Super Earth
EPIC 206042996 b,1,2,5.2986,0.049317,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,,,90.5,16,0.0303,,4114,0.5,0.57,0.006,-0.98,4.8,,2.90458,451.769,16.59,13.071,15.9752,Super Earth
EPIC 206042996 c,1,2,0.354884,0.008133,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,,,89.9,2.6,0.0223,,4114,0.5,0.57,0.006,-0.98,4.8,,2.90458,451.769,16.59,13.071,15.9752,Super Earth
EPIC 206215704 b,1,1,2.255436,0.025004,1,0.089,0.972,0.00306,M-R relationship,5.34,,,,89.9,17,0.0383,,3297,0.25,0.41,-0.33,-2.088,4.9,,19.87982,109.888,17.83,12.767,16.1722,Terrestrial
EPIC 206317286 b,1,2,1.58252,0.023709,0.96,0.086,0.84,0.00264,M-R relationship,5.22,,,,,6.1,0.0133,,4864,0.67,0.71,0.019,-0.593,4.6,,2.51975,314.35,14.005,11.635,13.774,Terrestrial
EPIC 206317286 c,1,2,17.515472,0.12404,2.094,0.187,5.03,0.0158,M-R relationship,3.01,,,,,34.54,0.0253,,4752,0.76,0.83,0.019,-0.593,4.6,,2.51975,314.35,14.005,11.635,13.774,Super Earth
EPIC 211822797 b,1,1,21.1701963,0.1195,1.92,0.171,4.35,0.0137,M-R relationship,3.38,0.06,3.5,431,89.73,44.37,0.0303,M0,4057,0.58,0.62,0.2,-1.153,4.7,0.79,3.87972,186.197,15.133,11.429,14.5263,Super Earth
EPIC 212297394 b,1,2,2.289363,0.031947,1.48,0.132,2.79,0.00879,M-R relationship,4.73,,,1149,,8.53,0.0169,,5171,0.8,0.83,-0.03,-0.505,4.55,,2.50384,418.395,14.611,12.186,14.1864,Super Earth
EPIC 212499991 b,1,1,34.885,0.20247,1.6,0.143,3.19,0.01,M-R relationship,4.28,,,,,,0.0193,,4982.79,0.76,0.91,,-0.497,4.61,,2.81669,283.29,13.672,11.366,13.3118,Super Earth
EPIC 212587672 b,1,2,15.28078,0.120109,1.26,0.112,2.13,0.00669,M-R relationship,5.85,,,756,,30.75,0.0117,,6004,0.98,0.99,-0.18,0.006,4.45,,1.85888,320.07,12.488,10.857,12.2038,Super Earth
EPIC 212624936 b,1,2,0.578657,0.01358,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,,,90.3,3,0.0114,,5765,0.93,1,-0.39,-0.124,4.4,,1.85537,561.929,13.976,12.292,13.8326,Super Earth
EPIC 220492298 b,1,1,0.762406,0.016055,0.99,0.088,0.937,0.00295,M-R relationship,5.31,,,,92.6,3.2,0.01,,5620,0.89,0.95,0.28,-0.009,4.5,,0.97092,624.512,13.991,12.168,13.7756,Terrestrial
EPIC 220554210 c,1,2,0.70531,0.01519,1.6,0.143,3.19,0.01,M-R relationship,4.28,,,,91.3,3,0.0145,,5499,1,0.94,-0.23,-0.215,4.5,,1.442,496.289,14.21,12.002,13.8183,Super Earth
EPIC 220674823 b,1,2,0.571292,0.01326,1.725,0.154,8.21,0.02583,Mass,8.77,0,4670,2300,86.4,2.892,0.01601,G5 V,5532,0.99,0.95,0.11,-0.119,4.45,7.5,1.35,244.59,12.101,10.344,11.9535,Super Earth
EPIC 228836835 b,1,1,0.728113,0.01186,1.1,0.098,1.37,0.0043,M-R relationship,5.66,,,932,89.7,6.4,0.0299,,3782,0.32,0.42,-0.18,-1.612,5,,7.73989,150.124,16.77,12.02,15.4185,Super Earth
EPIC 229004835 b,1,1,16.141132,0.1237,2.332,0.208,10.4,0.03272,Mass,4.49,0.23,69.7,804,88.08,54.6,0.0184,,5868,1,0.97,-0.12,0.03,4.47,4.9,1.52564,121.971,10.23,8.725,10.0494,Super Earth
EPIC 249893012 b,1,3,3.5951,0.047,1.95,0.174,8.75,0.02753,Mass,6.39,0.06,1037,1616,86.14,5.93,0.0104,G8 IV/V,5430,1.71,1.05,0.2,0.356,3.99,9,0.298,321.296,11.429,9.714,11.4019,Super Earth
